recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max
00204008d,21,1,13.84,3281.25,14.9333,4125.0
00204008d,8,1,24.496,3750.0,28.6187,5531.25
00204008d,4,1,15.0027,2343.75,16.8587,4218.75
003b04435,22,1,43.2533,10687.5,44.8587,13687.5
003b04435,23,1,9.1254,7235.1562,15.2091,11283.3984
005f1f9a5,10,1,49.3598,947.4609,51.8037,10852.7344
0072f0839,2,1,56.0053,468.75,57.7813,3000.0
0079ff47b,1,1,46.5653,3843.75,47.4613,5625.0
0079ff47b,11,1,49.0986,1808.7891,50.2364,5684.7656
0079ff47b,19,1,30.224,281.25,31.776,2812.5
0079ff47b,20,1,2.0107,2343.75,5.4507,5718.75
0079ff47b,8,1,45.6907,3750.0,49.8133,5531.25
0079ff47b,17,1,43.3813,1312.5,49.8347,3937.5
007f87ba2,20,1,9.888,2343.75,13.328,5718.75
007f87ba2,9,1,5.5733,1125.0,8.3787,5250.0
007f87ba2,8,1,17.8613,3750.0,21.984,5531.25
00834f88e,15,1,13.5733,93.75,16.9173,1125.0
00834f88e,15,1,16.704,93.75,20.048,1125.0
008c9c381,21,1,40.5653,3281.25,41.6587,4125.0
009aa1c8f,11,1,28.5489,1808.7891,29.6867,5684.7656
009fbc7b4,16,4,5.0293,3093.75,6.864,4593.75
00ad36516,19,1,28.3947,281.25,29.9467,2812.5
00e3525a2,11,1,26.047,1808.7891,27.1848,5684.7656
00e3525a2,6,1,39.0347,562.5,41.1787,4406.25
00f3b3c1e,23,1,41.7495,7235.1562,47.8331,11283.3984
013716dbf,23,1,37.3899,7235.1562,43.4736,11283.3984
015113cad,5,1,11.088,4781.25,13.44,10406.25
015113cad,3,1,42.9493,1031.25,43.6907,2812.5
015113cad,19,1,55.968,281.25,57.52,2812.5
015aa6c7c,23,1,35.6136,7235.1562,41.6972,11283.3984
016240b9a,22,1,7.0773,10687.5,8.6827,13687.5
017165b59,20,1,47.5893,2343.75,51.0293,5718.75
0171866c7,18,1,57.0987,3187.5,57.792,5062.5
0171866c7,12,1,36.64,562.5,39.776,3281.25
0178fe09a,5,1,1.7653,4781.25,4.1173,10406.25
0178fe09a,16,4,33.3333,3093.75,35.168,4593.75
0178fe09a,23,4,6.3042,6459.9609,14.228,11627.9297
017d43bd0,3,1,10.48,1031.25,11.2213,2812.5
01a976045,18,1,9.7707,3187.5,10.464,5062.5
01a976045,16,4,14.88,3093.75,16.7147,4593.75
01a976045,16,4,8.848,3093.75,10.6827,4593.75
01cd1b90e,11,1,38.4639,1808.7891,39.6016,5684.7656
01ceb73a1,0,1,3.904,5906.25,5.1947,7500.0
01ceb73a1,20,1,27.6107,2343.75,31.0507,5718.75
01ceb73a1,2,1,50.4427,468.75,52.2187,3000.0
01ceb73a1,16,4,44.9867,3093.75,46.8213,4593.75
01d1aeb9a,13,1,25.5627,93.75,29.4347,1406.25
01d1aeb9a,17,1,52.9813,1312.5,59.4347,3937.5
01d1aeb9a,17,1,35.5733,1312.5,42.0267,3937.5
01dd6474a,10,1,27.5447,947.4609,29.9886,10852.7344
01e8c8d72,8,1,5.1947,3750.0,9.3173,5531.25
01e8c8d72,21,1,24.6613,3281.25,25.7547,4125.0
0209f7ab2,3,1,8.0213,1031.25,8.7627,2812.5
021e8f7aa,4,1,8.9707,2343.75,10.8267,4218.75
021e8f7aa,19,1,47.3227,281.25,48.8747,2812.5
022f801bc,9,1,48.8213,1125.0,51.6267,5250.0
022f801bc,18,1,45.5253,3187.5,46.2187,5062.5
022f801bc,8,1,29.0027,3750.0,33.1253,5531.25
023e22a5e,9,1,7.8187,1125.0,10.624,5250.0
023e22a5e,14,1,56.9173,2531.25,57.504,5531.25
0275e127d,0,1,42.2827,5906.25,43.5733,7500.0
0275e127d,6,1,32.3467,562.5,34.4907,4406.25
0275e127d,10,1,54.8165,947.4609,57.2604,10852.7344
0281e4332,9,1,22.4533,1125.0,25.2587,5250.0
0281e4332,8,1,50.864,3750.0,54.9867,5531.25
02a9de85e,15,1,19.8613,93.75,23.2053,1125.0
02a9de85e,11,1,32.0726,1808.7891,33.2103,5684.7656
02a9de85e,16,4,14.384,3093.75,16.2187,4593.75
02a9de85e,2,1,47.296,468.75,49.072,3000.0
02b9a8ab9,6,1,20.4053,562.5,22.4267,3187.5
02b9a8ab9,9,1,48.4267,1125.0,51.232,5250.0
02b9a8ab9,0,1,35.3227,5906.25,36.6133,7500.0
02f79ea92,22,1,56.9493,10687.5,58.5547,13687.5
03049a445,23,1,46.022,7235.1562,52.1056,11283.3984
0313e82cf,17,4,34.1013,1312.5,36.6347,7406.25
0319f2979,15,1,19.8347,93.75,23.1787,1125.0
032cb2915,4,1,32.3467,2343.75,34.2027,4218.75
032cb2915,19,1,2.5973,281.25,4.1493,2812.5
0337b0224,3,1,48.8693,1031.25,49.6107,2812.5
034868b19,4,1,48.2987,2343.75,50.1547,4218.75
034868b19,21,1,22.7787,3281.25,23.872,4125.0
034f18a3e,5,1,10.528,4781.25,12.88,10406.25
035095d4d,14,1,25.584,2531.25,26.1707,5531.25
035095d4d,16,4,50.2027,3093.75,52.0373,4593.75
035095d4d,19,1,18.064,281.25,19.616,2812.5
035095d4d,1,1,27.6107,3843.75,28.5067,5625.0
035095d4d,4,1,5.5947,2343.75,7.4507,4218.75
036726d38,2,1,39.7547,468.75,41.5307,3000.0
036726d38,1,1,23.3547,3843.75,24.2507,5625.0
036726d38,7,1,33.168,4687.5,36.3093,11437.5
0384c1b79,7,1,43.3867,4687.5,46.528,11437.5
0384c1b79,16,4,15.888,3093.75,17.7227,4593.75
0384c1b79,2,1,5.6853,468.75,7.4613,3000.0
0384c1b79,20,1,9.1307,2343.75,12.5707,5718.75
038dfd032,15,1,11.4027,93.75,14.7467,1125.0
038dfd032,21,1,17.0933,3281.25,18.1867,4125.0
03971ab79,22,1,2.704,10687.5,4.3093,13687.5
03971ab79,18,1,1.872,3187.5,2.5653,5062.5
039dd83e7,20,1,16.0053,2343.75,19.4453,5718.75
039dd83e7,2,1,57.8773,468.75,59.6533,3000.0
